A1,Q18
A2,L0
A3,Q6
A4,Q0
A5,L4
A6,Q54
A7,Q8
A8,Q22
A9,Q40
A10,Q38
A11,Q26
A12,Q32
A13,W1-2
B1,Q50
B2,L8
B3,Q12
B4,Q4
B5,Q16
B6,Q46
B7,Q62
B8,Q30
B9,Q24
B10,Q34
B11,S6
B12,W1-1
B13,Q20
C1,S8
C2,Q10
C3,SENSE1
C6,Q44
C7,GND
C8,Q64
C11,SENSE2
C12,Q36
C13,Q60
D1,L6
D2,Q2
D12,Q56
D13,Q42
E1,Q14
E2,L2
E12,Q28
E13,S4
F1,Q52
F2,Q48
F3,S10
F11,O0
F12,S0
F13,Q58
G1,RF
G11,RF Sense
G12,O1
G13,S2
H1,Q51
H2,Q3
H3,S9
H11,S3
H12,Q61
H13,Q57
J1,Q11
J2,Q19
J12,Q37
J13,Q21
K1,L7
K2,Q49
K12,Q59
K13,W2-2
L1,S11
L2,Q15
L3,Resistive 1
L6,Q45
L7,GND
L8,Q65
L11,Resistive 2
L12,Q29
L13,S1
M1,Q53
M2,L9
M3,Q13
M4,Q5
M5,Q17
M6,Q47
M7,Q63
M8,Q31
M9,Q25
M10,Q35
M11,S7
M12,W2-1
M13,S5
N1,L3
N2,L1
N3,Q7
N4,Q1
N5,L5
N6,Q55
N7,Q9
N8,Q23
N9,Q41
N10,Q39
N11,Q27
N12,Q33
N13,Q43
